neighborhood,neighborhood_size
Allegheny Center,0.21
Allegheny West,0.141
Allentown,0.295
Arlington,0.47
Arlington Heights,0.132
Banksville,0.969
Bedford Dwellings,0.179
Beechview,1.46
Beltzhoover,0.421
Bloomfield,0.702
Bluff,0.327
Bon Air,0.313
Brighton Heights,1.117
Brookline,2.082
California-Kirkbride,0.217
Carrick,1.673
Central Business District,0.64
Central Lawrenceville,0.963
Central Northside,0.259
Central Oakland,0.281
Chartiers City,0.132
Chateau,0.383
Crafton Heights,0.754
Crawford-Roberts,0.258
Duquesne Heights,0.623
East Allegheny,0.236
East Carnegie,0.432
East Hills,0.541
East Liberty,0.581
Elliott,0.606
Esplen,0.23
Fairywood,0.969
Fineview,0.25
Friendship,0.106
Garfield,0.457
Glen Hazel,0.456
Greenfield,0.773
Hays,1.75
Hazelwood,1.583
Highland Park,1.163
Homewood North,0.434
Homewood South,0.398
Homewood West,0.199
Knoxville,0.302
Larimer,0.445
Lincoln Place,0.984
Lincoln-Lemington-Belmar,1.812
Lower Lawrenceville,0.43
Manchester,0.279
Marshall-Shadeland,1.254
Middle Hill,0.305
Morningside,0.382
Mount Washington,1.139
Mt. Oliver,0.1
New Homestead,0.794
North Oakland,0.499
North Shore,0.303
Northview Heights,0.313
Oakwood,0.252
Overbrook,0.839
Perry North,1.212
Perry South,0.905
Point Breeze,1.004
Point Breeze North,0.286
Polish Hill,0.255
Regent Square,0.192
Ridgemont,0.369
Shadyside,0.921
Sheraden,0.89
South Oakland,0.508
South Shore,0.212
South Side Flats,0.936
South Side Slopes,0.716
Spring Garden,0.275
Spring Hill-City View,0.63
Squirrel Hill North,1.222
Squirrel Hill South,2.671
St. Clair,0.31
Stanton Heights,0.735
Strip District,0.608
Summer Hill,0.439
Swisshelm Park,0.48
Terrace Village,0.342
Troy Hill,0.46
Upper Hill,0.313
Upper Lawrenceville,0.405
West End,0.2
West Oakland,0.215
Westwood,0.692
Windgap,0.415
